AcceptTime,Answer,ApprovalTime,AssignmentId,AssignmentStatus,AutoApprovalTime,HITId,Question,SubmitTime,TimeSpent,WorkerId,breast:3KSRR0ANT0SQYOX6MT2LB8HJ8EFCHJ,cardio:3RJTH7YUGU2T60P6IF1ZMICQMWRYTM,nutrition:36FDFKUBEQYUVKNYWYMXNPALOD93NJ,immunization:3RVVHO1V7S1LCQ80JEK422CLLUJWGC
2018-09-18 18:18:35+02:00,"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>question</QuestionIdentifier><FreeText> NEJMoa1404037 </FreeText></Answer><Answer><QuestionIdentifier>summary</QuestionIdentifier><FreeText>Pre-menopausal women with hormone-receptor positive (HRP) breast cancer have another promising treatment available to them to reduce recurrence of the disease.  Adjuvant Exemestane with an aromatase inhibitor, or hormone receptor, is shown to improve outcomes, as compared to tamoxifen plus ovarian suppression. A five-year follow-up in the  Exemestane group showed a disease-free survival rate at 91.1 % compared to the Tamoxifen group with a 87.3% survival rate. The rate of freedom from cancer at five years was at nearly 93% in the Exemestane group as compared to about 89% in the Tamoxifen group. In the study of 4690 patients, there were 194 deaths. The overall survival rate did not differ significantly between the two groups. Adverse reactions were similar in both groups. This is great news for women looking for an alternative treatment to suppress the chance of HRP breast cancer returning.&#13;</FreeText></Answer></QuestionFormAnswers>",2018-09-19 02:46:01+02:00,3WMINLGALCOLOX0EFDGC7W577LYCAK,Approved,2018-09-19 02:45:15+02:00,35JDMRECC4UY9201729G4MKPVOIEG1,NEJMoa1404037,2018-09-18 18:45:15+02:00,0 days 00:26:40.000000000,A2KROBPV0YPE4A,"{""Education"": ""College"", ""Age"": ""40-60"", ""Gender"": ""female"", ""1"": true, ""2"": false, ""3"": true, ""4"": true, ""5"": false, ""6"": true, ""7"": true, ""8"": true, ""9"": false, ""10"": true, ""11"": true, ""12"": true, ""13"": true}",,,
2018-09-18 22:17:24+02:00,"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>question</QuestionIdentifier><FreeText> NEJMoa1404037 </FreeText></Answer><Answer><QuestionIdentifier>summary</QuestionIdentifier><FreeText>In premenopausal breast cancer (specifically the early, hormone receptor positive kind), treatment with a therapy called aromatase inhibitor is better than another drug called tamoxifen. They found this by studying the clinical trial data from 4690 patients from two separate trials. The 5 year survival rate was 91% for aromatase inhibitor and 87% for tamoxifen. The researchers had a fairly high confidence in that result. However, the group that was treated with the aromatase inhibitor had a slightly elevated risk for adverse side effects as opposed to those treated with the tamoxifen. In summary, the research found that women treated with adjuvant treatment with exemstane plus ovarian suppression medication were more likely to stay in remission after their breast cancer had been treated, as opposed to the tamoxifen group. This study was paid for by Pfizer and is publicly available online.</FreeText></Answer></QuestionFormAnswers>",2018-09-19 06:23:01+02:00,3VHP9MDGRO5GKOHMQT24LXGY48MFCP,Approved,2018-09-19 06:22:48+02:00,35JDMRECC4UY9201729G4MKPVOIEG1,NEJMoa1404037,2018-09-18 22:22:48+02:00,0 days 00:05:24.000000000,A2WNTEVRT68JXT,"{""Education"": ""College"", ""Age"": ""24-39"", ""Gender"": ""female"", ""1"": true, ""2"": true, ""3"": true, ""4"": false, ""5"": true, ""6"": true, ""7"": true, ""8"": true, ""9"": true, ""10"": true, ""11"": false, ""12"": true, ""13"": true}",,,
2018-09-19 04:15:06+02:00,"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>question</QuestionIdentifier><FreeText> NEJMoa1404037 </FreeText></Answer><Answer><QuestionIdentifier>summary</QuestionIdentifier><FreeText>This study found that in postmenopausal women with hormone receptor-positive breast cancer and when compared to tamofoxifen, that adjuvant therapy with an aromatase inhibitor improves outcomes. During two phase 3 trials the primary analysis used data from 4690 patients. Ovarian estrogen production was achieved with the use of the gonadotropin releasing hormone agoinsts triptorellin, oophoroectomy, or ovarian irraditation. Findings concluded that in premenopausal women  with hormone receptor -positive breast cancer that tamoxifen plus ovarian suppression and adjuvant treatment with exemestane plus ovarian suppression ended up significantly reducing recurrence. A median follow up of 68 months disease free survival was 91.1%.The rate of freedom from breast cancer at five years was 92.8% for this group of women involved. A well executed study for the cancer researchers involved. Postmenopausal women achieved the same outcomes thus proving pre or post menopause did not matter.</FreeText></Answer></QuestionFormAnswers>",2018-09-19 12:36:01+02:00,3SBEHTYCWOODXIKHNTQELLL9OTOYIA,Approved,2018-09-19 12:35:07+02:00,35JDMRECC4UY9201729G4MKPVOIEG1,NEJMoa1404037,2018-09-19 04:35:07+02:00,0 days 00:20:01.000000000,A1AZV2XOQK7RSW,"{""Education"": ""College"", ""Age"": ""40-60"", ""Gender"": ""female"", ""1"": true, ""2"": false, ""3"": true, ""4"": true, ""5"": false, ""6"": true, ""7"": true, ""8"": true, ""9"": true, ""10"": true, ""11"": true, ""12"": true, ""13"": false}",,,
2018-09-19 15:08:27+02:00,"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>question</QuestionIdentifier><FreeText> NEJMoa1404037 </FreeText></Answer><Answer><QuestionIdentifier>summary</QuestionIdentifier><FreeText>In 2 phase 3 trials, randomly assigned premenopausal women w/ hormone-receptor-positive early breast cancer to the aromatase inhibitor exemestane plus ovarian suppression or taxoifen plus ovarian suppression for a 5-year period. Suppression of ovarian estrogen production was achieved with using gonadotropin-releasing-hormone agonist triptorelin, oophorectomy or ovarian irradiation. The primary analysis combined data from 4690 patients in 2 trials. After a median f/u of 68 months, disease-free  survival at 5 years was 91.1% in exemestane group &amp; 87.3% in tamoxifen group. The rate of no breast cancer at 5 years was 92.8% in the exemestane group &amp; 88.8% in the tamoxifen group. With 194 deaths, overall survival did not differ much between the 2 groups. Selected adverse events of grade 3 or 4 were reported for 30.6% of patients in the exemestane grp &amp; 29.4% in the tamoxifen group, similar to those for postmenopausal women. In premenopausal women with hormone-receptor, positive early breast cancer adjuvant treatment w/ exemestane plus ovarian suprression significantly reduced recurrence. </FreeText></Answer></QuestionFormAnswers>",2018-09-19 23:29:02+02:00,352YTHGROWYX3GVDS4KM5KGNTIO4HM,Approved,2018-09-19 23:28:51+02:00,35JDMRECC4UY9201729G4MKPVOIEG1,NEJMoa1404037,2018-09-19 15:28:51+02:00,0 days 00:20:24.000000000,A98E8M4QLI9RS,"{""Education"": ""Some College"", ""Age"": ""40-60"", ""Gender"": ""female"", ""1"": true, ""2"": true, ""3"": true, ""4"": true, ""5"": true, ""6"": true, ""7"": true, ""8"": true, ""9"": true, ""10"": true, ""11"": true, ""12"": true, ""13"": true}",,,
2018-09-19 18:51:50+02:00,"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>question</QuestionIdentifier><FreeText> NEJMoa1404037 </FreeText></Answer><Answer><QuestionIdentifier>summary</QuestionIdentifier><FreeText>Testing over several years has proven that an aromatase inhibitor (exemestane) improves outcomes for post-menopausal women with hormone-receptor positive breast cancer. The women all went through ovarian suppression via different methods, but survival rate after five and a half years was higher for those who went through ovarian suppression while taking exemestane than those who went through it taking tamoxifen. In addition, more women were free from breast cancer after five years that had been taking the exemestane as opposed to those who took tamoxifen. The treatment was also found to be helpful for pre-menopausal women with hormone-receptor positive early breast cancer. &#13;4690 patients were tested during these trials over more than five years, and the results indicate that the aromatase inhibitor exemestane was overall the more successful drug treatment when compared to tamoxifen and combined with suppression of ovarian estrogen production. </FreeText></Answer></QuestionFormAnswers>",2018-09-20 03:09:01+02:00,3XIQGXAUMDTR8TDBZ60FBIOR8B77XE,Approved,2018-09-20 03:08:25+02:00,35JDMRECC4UY9201729G4MKPVOIEG1,NEJMoa1404037,2018-09-19 19:08:25+02:00,0 days 00:16:35.000000000,AUPHYAKC58LPA,"{""Education"": ""Some College"", ""Age"": ""24-39"", ""Gender"": ""female"", ""1"": true, ""2"": false, ""3"": true, ""4"": false, ""5"": false, ""6"": false, ""7"": true, ""8"": true, ""9"": false, ""10"": false, ""11"": false, ""12"": true, ""13"": true}",,,
2018-09-20 03:59:48+02:00,"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>question</QuestionIdentifier><FreeText> NEJMoa1404037 </FreeText></Answer><Answer><QuestionIdentifier>summary</QuestionIdentifier><FreeText>Adjuvant therapy with an aromatase inhibitor improves outcomes when compared to tamokifen, in postmenopausal women with hormone-receptor positive breast cancer. Trials were done in which women with hormone receptor positive early breast cancer were assigned to one of two groups, those with the aromatase inhibitor or those with tamokifen. These trials lasted for a period of five years. A total of 4,690 patients were studied in two trials that contained three phases per trial. At the 68 month follow up, disease free survival was found to be higher in the aromatase inhibitor group over the tamokifen group with a confidence interval of 95%. The rate of freedom from breast cancer was higher in the aromatase inhibitor group than the tamokifen group. With a death rate of 4.1%, overall survival did not differ significantly between the two groups. Adverse events were reported at a higher rate in the group with the aromatase inhibitor than the group with tamokifen.</FreeText></Answer></QuestionFormAnswers>",2018-09-20 12:10:01+02:00,3N4BPTXIO9DNM4Q0DVE1VGU9KHTUKQ,Approved,2018-09-20 12:09:41+02:00,35JDMRECC4UY9201729G4MKPVOIEG1,NEJMoa1404037,2018-09-20 04:09:41+02:00,0 days 00:09:53.000000000,AWCD7E12GSX2Z,"{""Education"": ""College"", ""Age"": ""24-39"", ""Gender"": ""female"", ""1"": true, ""2"": true, ""3"": false, ""4"": true, ""5"": false, ""6"": false, ""7"": true, ""8"": true, ""9"": false, ""10"": true, ""11"": true, ""12"": true, ""13"": false}",,,
2018-09-20 04:42:02+02:00,"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>question</QuestionIdentifier><FreeText> NEJMoa1404037 </FreeText></Answer><Answer><QuestionIdentifier>summary</QuestionIdentifier><FreeText>Studies have shown improved patient outcomes in postmenopausal women with hormone-receptor positive breast cancer who received adjuvant therapy with an aromatase inhibitor as compared to tamoxifen. In two phase 3 randomized controlled trials of nearly 4700 premenopausal women with hormone-receptor positive breast cancer, adjuvant therapy with exemestane in combination with ovarian suppression showed significantly higher rates of disease-free survival at 5 years and freedom from breast cancer at 5 years as compared to tamoxifen in combination with ovarian suppression. The rates of overall survival as well as grade 3 or 4 adverse effects were not significantly different among the two groups. The results of these two trials in premenopausal women support those of previously published studies examining the effects of adjuvant aromatase inhibitors compared to tamoxifen in postmenopausal women with hormone-receptor positive breast cancer.</FreeText></Answer></QuestionFormAnswers>",,31LM9EDVOMDFGU09Y923G622XW5NJX,Submitted,2018-09-20 12:47:37+02:00,35JDMRECC4UY9201729G4MKPVOIEG1,NEJMoa1404037,2018-09-20 04:47:37+02:00,0 days 00:05:35.000000000,A3K7OKFT05A073,"{""Education"": ""College"", ""Age"": ""24-39"", ""Gender"": ""male"", ""1"": true, ""2"": true, ""3"": true, ""4"": true, ""5"": true, ""6"": true, ""7"": true, ""8"": true, ""9"": true, ""10"": true, ""11"": true, ""12"": true, ""13"": true}",,,
2018-09-20 09:51:41+02:00,"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>question</QuestionIdentifier><FreeText> NEJMoa1404037 </FreeText></Answer><Answer><QuestionIdentifier>summary</QuestionIdentifier><FreeText>We have an extraordinary study of the benefits of using Adjuvant Exemestane with ovarian suppression in premenopausal breast cancer compared to patients using Tamoxifen with ovarian suppression. In the study, primary analysis combined data from 4690 patients in two trials.  In 2 phase 3 trials,  randomly assigned premenopausal women (a woman usually in her 40s have menstrual irregularity experience menopause symptoms)  with hormone-receptor early breast cancer to the aromatase inhibitor exemestan plus ovarian suppression or tamoxifen plus ovarian suppression, suppression of the ovarian estrogen was achieved with the used of gonadotropin-releasing hormone agonist triptorelin, oophorectomy or ovarian irradiation.&#13;&#13;In the follow up of 5 years, we had disease-free survival of exemestane 91.1% compared to tamoxifen 87.3%. The freedom of breast cancer at 5yrs, exemestane was 92.8% compared to tamoxifen 88.8%. With deaths of 4.1%, there wasn't much difference between the two groups.  In conclusion, patients using exemestane had significantly reduced recurrence compared to tamoxifen.</FreeText></Answer></QuestionFormAnswers>",,3JCG6DTRV4BH5EHE9RETH19TG3SQQO,Submitted,2018-09-20 18:44:55+02:00,35JDMRECC4UY9201729G4MKPVOIEG1,NEJMoa1404037,2018-09-20 10:44:55+02:00,0 days 00:53:14.000000000,A3MV3MK1DR9MNZ,"{""Education"": ""College"", ""Age"": ""40-60"", ""Gender"": ""female"", ""1"": true, ""2"": false, ""3"": true, ""4"": true, ""5"": false, ""6"": false, ""7"": true, ""8"": true, ""9"": false, ""10"": true, ""11"": false, ""12"": false, ""13"": true}",,,
2018-09-18 20:32:24+02:00,"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>question</QuestionIdentifier><FreeText> NEJMoa1000727 </FreeText></Answer><Answer><QuestionIdentifier>summary</QuestionIdentifier><FreeText>Mammography screening doesn't seem to have much affect on the breast cancer mortality rate in Norway. The challenge in quantifying the effects of mammograms on mortality was conducted in a nine year comparison study of over 40- thousand women aged 50 to 69 with breast cancer. They looked at the incidence in rates of death from the disease among those who had and had not been screened for breast cancer. The women were all offered a mammogram every two years. The data was analyzed between the two groups and showed the death rate was reduced by 7 deaths per 100,000 among those women in the screened group, and nearly 5 deaths in the non-screened group. This resulted in a relative reduction in mortality of 10% in the screening group. The differences suggest that the availability of screening was associated with a reduction in the rate of death from breast cancer, but the screening itself accounted for about a third of the total reduction. </FreeText></Answer></QuestionFormAnswers>",2018-09-19 04:53:01+02:00,3IO1LGZLKAIIPSYY8OJVP572LGE86L,Approved,2018-09-19 04:52:53+02:00,3OND0WXMHW0C9YVCR8RYPMWQAOVEH0,NEJMoa1000727,2018-09-18 20:52:53+02:00,0 days 00:20:29.000000000,A2KROBPV0YPE4A,"{""Education"": ""College"", ""Age"": ""40-60"", ""Gender"": ""female"", ""1"": true, ""2"": false, ""3"": true, ""4"": true, ""5"": false, ""6"": true, ""7"": true, ""8"": true, ""9"": false, ""10"": true, ""11"": true, ""12"": true, ""13"": true}",,,
2018-09-19 04:35:41+02:00,"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>question</QuestionIdentifier><FreeText> NEJMoa1000727 </FreeText></Answer><Answer><QuestionIdentifier>summary</QuestionIdentifier><FreeText>This study was about the effects on screening mammography on breast cancer in Norway. The availability of screening mammography  which was offered a mammography screening every two years and has been associated with a reduction in the rate of death from breast cancer. The historical use of control subjects does not take into account chronologic trends associated with advances in breast cancer. The chronologic trends associated with a reduction in the rate of death from breast cancer, but the studys screening itself accounted for only about a third of the total reduction.  The program was started in 1996 in Norway and expanded in following years to other countries. There were approximately 40,000 aged between fifty through sixty nine women who took part in this study. The rate of death dropped by 7.2 per 100,000 people for the final result. This project was funded by the Cancer Registry of Norway and the research council of Norway.</FreeText></Answer></QuestionFormAnswers>",2018-09-19 13:04:01+02:00,3RXPCZQMQQW2BL3JLGJ2MMXJ2VQG15,Approved,2018-09-19 13:03:50+02:00,3OND0WXMHW0C9YVCR8RYPMWQAOVEH0,NEJMoa1000727,2018-09-19 05:03:50+02:00,0 days 00:28:09.000000000,A1AZV2XOQK7RSW,"{""Education"": ""College"", ""Age"": ""40-60"", ""Gender"": ""female"", ""1"": true, ""2"": false, ""3"": true, ""4"": true, ""5"": false, ""6"": true, ""7"": true, ""8"": true, ""9"": true, ""10"": true, ""11"": true, ""12"": true, ""13"": false}",,,
